CODIGO ASEO;CODIGO J.M.;DISTRITO;VIAL;DIRECCION;NUMERO;ANT/DES/ESQ. ;COORD UTM ETRS89 X;COORD UTM ETRS89 Y;FECHA PUESTA EN SERVICIO;LATITUD;LONGITUD;NOMBRE;;;;;;;;;;;;;;;;;;;
020085ASW;13;PUENTE DE VALLECAS;AVENIDA;ALBUFERA;1;CALLE 30;443185.66;4472181.37;23/09/2016;40.3983008;-3.669491;AVENIDA ALBUFERA,1;;;;;;;;;;;;;;;;;;;
020087AS;13;PUENTE DE VALLECAS;AVENIDA;DEMOCRACIA;1;;446950.04;4470373.22;19/01/2017;40.3822601;-3.6249841;AVENIDA DEMOCRACIA,1;;;;;;;;;;;;;;;;;;;
020088AS;13;PUENTE DE VALLECAS;CALLE;MANCHA;1;;443197.05;4470280.97;23/10/2017;40.3811817;-3.6691873;CALLE MANCHA,1;;;;;;;;;;;;;;;;;;;
020086AS;13;PUENTE DE VALLECAS;CALLE;SANTILLANA DEL MAR;9;;445159.14;4471301.14;05/03/2018;40.3905035;-3.6461615;CALLE SANTILLANA DEL MAR,9;;;;;;;;;;;;;;;;;;;
020089AS;13;PUENTE DE VALLECAS;CALLE;PIO FELIPE;42;;444462.33;4471451.04;04/04/2018;40.3918077;-3.6543842;CALLE PIO FELIPE,42;;;;;;;;;;;;;;;;;;;
020056AS;13;PUENTE DE VALLECAS;CALLE;ARAGONESES;8;;445379.16;4470246.89;21/09/2018;40.3810206;-3.6434788;CALLE ARAGONESES,8;;;;;;;;;;;;;;;;;;;
020127AS;13;PUENTE DE VALLECAS;AVENIDA;MIGUEL HERNANDEZ;48;;446124.80;4471093.39;26/07/2018;40.388695;-3.6347667;AVENIDA MIGUEL HERNANDEZ,48;;;;;;;;;;;;;;;;;;;
020050AS;14;MORATALAZ;AVENIDA;DOCTOR GARCIA TAPIA;127;;445643.26;4473450.83;20/11/2017;40.4099009;-3.6406412;AVENIDA DOCTOR GARCIA TAPIA,127;;;;;;;;;;;;;;;;;;;
020084AS;14;MORATALAZ;CALLE;HACIENDA DE PAVONES;231;;446172.74;4472402.95;13/12/2017;40.4004954;-3.6343126;CALLE HACIENDA DE PAVONES,231;;;;;;;;;;;;;;;;;;;
020077AS;14;MORATALAZ;CALLE;LAGUNA NEGRA;7;;446497.91;4472840.77;15/02/2018;40.4044605;-3.6305177;CALLE LAGUNA NEGRA,7;;;;;;;;;;;;;;;;;;;
020083AS;14;MORATALAZ;AVENIDA;MORATALAZ;70;;444836.38;4473029.77;24/05/2018;40.4060547;-3.6501139;AVENIDA MORATALAZ,70;;;;;;;;;;;;;;;;;;;
020015AS;14;MORATALAZ;CALLE;JOSE BERGAMIN;7;;446276.19;4473604.52;04/07/2018;40.4113266;-3.633195;CALLE JOSE BERGAMIN,7;;;;;;;;;;;;;;;;;;;
020042ASW;15;CIUDAD LINEAL;CALLE;MISTERIOS;1;;445812.42;4476575.27;16/01/2017;40.4380587;-3.6389139;CALLE MISTERIOS,1;;;;;;;;;;;;;;;;;;;
020062AS;15;CIUDAD LINEAL;CALLE;JUAN PEREZ ZUÑIGA;2;;444918.59;4476914.56;25/01/2018;40.4410565;-3.6494816;CALLE JUAN PEREZ ZUÑIGA,2;;;;;;;;;;;;;;;;;;;
020061AS;15;CIUDAD LINEAL;CALLE;VIRGEN DE LA ROCA;20;;444223.96;4476293.49;06/02/2018;40.4354153;-3.6576172;CALLE VIRGEN DE LA ROCA,20;;;;;;;;;;;;;;;;;;;
020124AS;15;CIUDAD LINEAL;CALLE;VIRGEN DEL SAGRARIO;20;;444966.06;4476313.86;07/08/2018;40.4356482;-3.6488699;CALLE VIRGEN DEL SAGRARIO,20;;;;;;;;;;;;;;;;;;;
020058AS;16;HORTALEZA;AVENIDA;MACHUPICHU;9;;447097.44;4478585.83;07/12/2017;40.4562537;-3.6239308;AVENIDA MACHUPICHU,9;;;;;;;;;;;;;;;;;;;
020069AS;16;HORTALEZA;CALLE;SANTA ADELA;14;;444935.55;4481093.69;14/12/2017;40.4787054;-3.6496442;CALLE SANTA ADELA,14;;;;;;;;;;;;;;;;;;;
020075AS;16;HORTALEZA;CALLE;BACARES;24;;443827.38;4480893.30;30/10/2018;40.4768259;-3.6626997;CALLE BACARES,24;;;;;;;;;;;;;;;;;;;
020126AS;17;VILLAVERDE;CALLE;SANTA PETRONILA;15;INTERCAMBIADOR VILLAVERDE;441184.37;4466844.37;13/02/2017;40.3500832;-3.6925798;CALLE SANTA PETRONILA,15;;;;;;;;;;;;;;;;;;;
020130AS;17;VILLAVERDE;PLAZA;AGATA;1;;439775.75;4466456.57;27/02/2017;40.3464892;-3.7091292;PLAZA AGATA,1;;;;;;;;;;;;;;;;;;;
020123AS;17;VILLAVERDE;CALLE;ENCARNACION DEL PINO;29;;439229.40;4466459.95;20/12/2017;40.34648;-3.7155622;CALLE ENCARNACION DEL PINO,29;;;;;;;;;;;;;;;;;;;
020122AS;17;VILLAVERDE;PASEO;GIGANTES Y CABEZUDOS;4;;441083.93;4468023.08;20/02/2018;40.3606946;-3.6938713;PASEO GIGANTES Y CABEZUDOS,4;;;;;;;;;;;;;;;;;;;
020115AS;18;VILLA DE VALLECAS   ;AVENIDA;SANTA EUGENIA;79;;448377.33;4470845.42;28/12/2016;40.3866037;-3.6082083;AVENIDA SANTA EUGENIA,79;;;;;;;;;;;;;;;;;;;
020116AS;18;VILLA DE VALLECAS   ;CALLE;SIERRA DE TORTEJADA;1;;447513.99;4469186.33;01/02/2018;40.3716035;-3.6182429;CALLE SIERRA DE TORTEJADA,1;;;;;;;;;;;;;;;;;;;
020072AS;18;VILLA DE VALLECAS   ;CALLE;CAÑADA DEL SANTISIMO;45;;449117.84;4468241.49;30/11/2018;40.3631912;-3.5992764;CALLE CAÑADA DEL SANTISIMO,45;;;;;;;;;;;;;;;;;;;
020121AS;19;VICALVARO;CALLE;VILLARDONDIEGO;41;;448396.63;4472821.37;30/10/2017;40.4044056;-3.6081411;CALLE VILLARDONDIEGO,41;;;;;;;;;;;;;;;;;;;
020057AS;19;VICALVARO;AVENIDA;COMUNIDADES;5;PARQUE DE VALDEBERNARDO;447829.78;4471879.78;27/12/2017;40.3958878;-3.6147439;AVENIDA COMUNIDADES,5;;;;;;;;;;;;;;;;;;;
020119AS;19;VICALVARO;BULEVAR;JOSE PRAT;19;;447185.76;4472132.02;02/01/2018;40.3981196;-3.6223531;BULEVAR JOSE PRAT,19;;;;;;;;;;;;;;;;;;;
020120AS;19;VICALVARO;AVENIDA;GRAN VIA DEL ESTE;14;;449358.57;4472516.41;13/02/2018;40.4017174;-3.5967811;AVENIDA GRAN VIA DEL ESTE,14;;;;;;;;;;;;;;;;;;;
020079AS;19;VICALVARO;CALLE;PEDERNAL;1;;449225.95;4472930.82;15/02/2018;40.4054426;-3.5983769;CALLE PEDERNAL,1;;;;;;;;;;;;;;;;;;;
020105AS;20;SAN BLAS-CANILLEJAS ;PLAZA;ALSACIA;1;INTERCAMBIADOR ALSACIA;447142.09;4474289.16;05/12/2016;40.4175497;-3.6230469;PLAZA ALSACIA,1;;;;;;;;;;;;;;;;;;;
020101ASW;20;SAN BLAS-CANILLEJAS ;CALLE;ALCALÁ;632;INTERCAMBIADOR CANILLEJAS;448332.63;4477759.96;19/12/2016;40.4488915;-3.6092966;CALLE ALCALÁ,632;;;;;;;;;;;;;;;;;;;
020104AS;20;SAN BLAS-CANILLEJAS ;AVENIDA;NIZA;37;;448502.23;4475629.32;13/11/2017;40.429708;-3.607124;AVENIDA NIZA,37;;;;;;;;;;;;;;;;;;;
020100AS;20;SAN BLAS-CANILLEJAS ;CALLE;SUECIA;33;PLAZA DE GINEBRA;448756.83;4475024.32;22/11/2017;40.4242735;-3.6040739;CALLE SUECIA,33;;;;;;;;;;;;;;;;;;;
020118AS;20;SAN BLAS-CANILLEJAS ;CALLE;ALCALÁ;548;EN ACCESO A PARQUE DE TORRE ARIAS;447625.80;4477170.87;19/12/2017;40.4435404;-3.617583;CALLE ALCALÁ,548;;;;;;;;;;;;;;;;;;;
020066ASW;20;SAN BLAS-CANILLEJAS ;AVENIDA;ARCENTALES;39;ESTADIO METROPOLITANO;449025.39;4476026.74;24/01/2018;40.4333204;-3.6009885;AVENIDA ARCENTALES,39;;;;;;;;;;;;;;;;;;;
020028AS;20;SAN BLAS-CANILLEJAS ;CALLE;ALCALÁ;502;EN ACCESO A PARQUE DE QUINTA DE LOS MOLINOS;446719.51;4476854.77;14/05/2018;40.4406352;-3.6282427;CALLE ALCALÁ,502;;;;;;;;;;;;;;;;;;;
